15.09.07;44,98;01:21:53;35.41;53.49;31,76;41,13;Wolkig;1;4;k. A.;Nord;18,6;
18.09.07;39,95;01:14:09;35.06;54.29;30,98;51,19;Wolkig;3;14;k. A.;Nord- West;13,2;
20.09.07;40,21;01:12:53;35.08;52.49;31,52;53,21;Leicht bew.;3;14;k. A.;Sued- West;17,9;
21.09.07;50,28;01:30:27;34.49;53.58;32,02;52,18;Klar;3;18;k. A.;Sued;20,4;
28.09.07;45,31;01:22:14;36.21;53.53;32,22;40,77;Wolkig;1;4;k. A.;Nord- Ost;14,3;
06.10.07;50,21;01:31:32;37.05;54.43;32,33;40,06;Klar;2;7;k. A.;Ost;18,6;
07.10.07;51,58;01:39:02;37.07;56.46;30,44;46,74;Klar;1;4;k. A.;Nord- Ost;17,7;
09.10.07;50,01;01:33:01;36.40;55.43;30,61;53,75;Bedeckt;1;4;k. A.;Sued- West;13,2;
10.10.07;44,87;01:21:48;36.45;54.26;31,85;38,71;Leicht bew.;1;4;k. A.;Nord- Ost;15,9;
13.10.07;63,21;01:56:34;37.31;56.42;31,77;44,33;Klar;2;7;k. A.;Ost;16,1;
15.10.07;49,93;01:29:25;35.22;53.24;31,86;50,71;Klar;3;14;k. A.;Sued- West;21,8;
08.04.08;39.37;01:18:03;39.39;59.00;29,51;51,19;Bedeckt;2;11;k. A.;Nord- Ost;10,6;Wildenrath,Myhl,Gerderath,Gerderhan,Schwanenberg,Kehrbusch, Rath-Anhoven,Knorr,Broich,Busch,Wegberg,Klinkum,Arsbeck
10.04.08;39,64;01:19:18;39.04;58.50;29,22;51,68;Klar;2;11;k. A.;Nord- Ost;11,3;Wildenrath,Myhl,Gerderath,Gerderhan,Schwanenberg,Kehrbusch, Rath-Anhoven,Schoenhausen,Beeck,Ellinghoven,Broich,Busch,Wegberg,Klinkum,Arsbeck
